Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Amy Clair,F,SBD,Raw,36,35-39,24-39,Open,75.54,76,132.5,142.5,150,,150,82.5,90,95,,95,140,160,-167.5,,160,405,1,392.97,383.29,337.07,80.08,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Ruby Olthoff,F,SBD,Raw,17,16-17,14-18,Sub-Junior,69.44,76,135,140,-145,,140,70,75,77.5,,77.5,160,167.5,175,,175,392.5,1,398.71,392.65,346.18,81.03,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Wai Hang Wong,M,SBD,Raw,21,20-23,19-23,Junior,70.64,74,185,195,205,,205,105,112.5,-117.5,,112.5,200,210,217.5,,217.5,535,1,399.35,398.16,385.71,80.47,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Jonathan Chan #2,M,SBD,Raw,23,20-23,19-23,Junior,81.34,83,195,210,220,,220,130,140,145,,145,215,235,-245,,235,600,1,409.74,405.41,390.33,83.91,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Sung Hoon Ok,M,SBD,Raw,22,20-23,19-23,Junior,92.42,93,237.5,250,257.5,,257.5,147.5,155,-160,,155,257.5,272.5,280,,280,692.5,1,441.94,436.32,417.71,90.87,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Jaek Coleman,M,SBD,Raw,23,20-23,19-23,Junior,87.4,93,-220,230,240,,240,135,-142.5,-142.5,,135,230,255,265,,265,640,2,420.11,414.89,398.16,86.33,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Milan Grdosic,M,SBD,Raw,22,20-23,19-23,Junior,102.4,105,185,195,205,,205,120,127.5,-135,,127.5,250,-267.5,-267.5,,250,582.5,1,354.94,351.26,335.41,72.77,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Yao Alexandre Kpade,M,SBD,Raw,19,18-19,19-23,Junior,97.42,105,-200,-200,-212.5,,,140,147.5,152.5,,152.5,195,210,-217.5,,210,,DQ,,,,,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
John Holland,M,SBD,Raw,76,75-79,70-999,Masters 4,91.26,93,90,95,-100,,95,90,95,100,,100,130,145,155,,155,350,1,224.75,221.89,212.53,46.21,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Paul Leikas,M,SBD,Raw,28,24-34,24-39,Special Olympics,65.84,66,-45,45,55,,55,50,-60,-60,,50,65,-75,-75,,65,170,1,133.44,133.75,129.98,26.53,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Ben Paior-Smith,M,SBD,Raw,24,24-34,24-39,Special Olympics,90.4,93,75,95,100,,100,55,70,75,,75,75,95,-105,,95,270,1,174.19,171.98,164.79,35.82,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
William Turner #4,M,SBD,Raw,25,24-34,24-39,Special Olympics,131.52,120+,150,-170,-170,,150,100,107.5,112.5,,112.5,145,-160,160,,160,422.5,1,235.75,238.47,227.65,47.24,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Keiya Shigematsu,M,SBD,Raw,25,24-34,24-39,Open,70.16,74,177.5,190,195,,195,127.5,135,140,,140,190,205,-220,,205,540,1,404.98,403.96,391.45,81.51,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Paul Tran,M,SBD,Raw,24,24-34,24-39,Open,73.04,74,160,172.5,177.5,,177.5,105,112.5,120,,120,200,212.5,222.5,,222.5,520,2,379.53,377.56,365.22,76.86,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Tony Nguyen #12,M,SBD,Raw,29,24-34,24-39,Open,73.5,74,-140,140,150,,150,110,-120,-120,,110,-190,190,195,,195,455,3,330.72,328.87,318.04,67.03,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Yi Hu,M,SBD,Raw,23,20-23,19-23,Open,81.84,83,215,230,240,,240,132.5,137.5,140,,140,265,285,300,,300,680,1,462.74,457.75,440.6,94.8,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Yiannis Papazis,M,SBD,Raw,29,24-34,24-39,Open,82.44,83,190,-205,-210,,190,140,147.5,155,,155,230,250,262.5,,262.5,607.5,2,411.69,407.15,391.77,84.38,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Darvann Hean,M,SBD,Raw,25,24-34,24-39,Open,82.66,83,200,215,-220,,215,125,135,-142.5,,135,220,235,245,,245,595,3,402.61,398.13,383.05,82.53,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Stephen Nguyen,M,SBD,Raw,24,24-34,24-39,Open,82.42,83,180,190,200,,200,-140,-140,140,,140,240,-255,-260,,240,580,4,393.1,388.77,374.09,80.57,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Jonathan Caruso,M,SBD,Raw,31,24-34,24-39,Open,92.98,93,225,250,-275,,250,170,180,185,,185,255,270,295,,295,730,1,464.51,458.63,438.96,95.51,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
Aaron Urbani,M,SBD,Raw,23,20-23,24-39,Open,92.08,93,237.5,255,265,,265,150,155,160,,160,237.5,255,265,,265,690,2,441.13,435.52,417,90.71,Yes,Australia,,APLA,IPF,10/20/2024,Australia,SA,,AUPC Powerlifting Open,Yes
